year_month,year,month,sku_id,category,qty_sold,promo_flag,promo_store_days,promo_intensity,holiday_days,days_in_month,n_stores,list_price,avg_selling_price
01/08/24,2024,8,SKU0002,BEVERAGES,19633,1,14,0.151,0,31,3,5.17,4.94
01/09/24,2024,9,SKU0002,BEVERAGES,11861,1,5,0.056,0,30,3,5.17,5.08
01/10/24,2024,10,SKU0002,BEVERAGES,13426,1,12,0.129,1,31,3,5.17,4.97
01/11/24,2024,11,SKU0002,BEVERAGES,12590,1,6,0.067,1,30,3,5.17,5.07
01/12/24,2024,12,SKU0002,BEVERAGES,9750,0,0,0,1,31,3,5.17,5.17
01/01/25,2025,1,SKU0002,BEVERAGES,9964,1,11,0.118,1,31,3,5.17,4.99
01/02/25,2025,2,SKU0002,BEVERAGES,9533,1,13,0.155,1,28,3,5.17,4.93
01/03/25,2025,3,SKU0002,BEVERAGES,12618,1,9,0.097,0,31,3,5.17,5.02
01/04/25,2025,4,SKU0002,BEVERAGES,15270,1,7,0.078,0,30,3,5.17,5.05
01/05/25,2025,5,SKU0002,BEVERAGES,15208,0,0,0,1,31,3,5.17,5.17
01/06/25,2025,6,SKU0002,BEVERAGES,20789,1,13,0.144,0,30,3,5.17,4.95
01/07/25,2025,7,SKU0002,BEVERAGES,16688,0,0,0,1,31,3,5.17,5.17
01/08/25,2025,8,SKU0002,BEVERAGES,16010,0,0,0,0,31,3,5.17,5.17
01/09/25,2025,9,SKU0002,BEVERAGES,13267,1,11,0.122,0,30,3,5.17,4.98
01/10/25,2025,10,SKU0002,BEVERAGES,14081,1,9,0.097,1,31,3,5.17,5.02
01/11/25,2025,11,SKU0002,BEVERAGES,11744,0,0,0,1,30,3,5.17,5.17
01/12/25,2025,12,SKU0002,BEVERAGES,9512,0,0,0,1,31,3,5.17,5.17
01/01/22,2022,1,SKU0003,BEVERAGES,3772,1,5,0.054,1,31,3,15.63,15.38
01/02/22,2022,2,SKU0003,BEVERAGES,4035,1,5,0.06,1,28,3,15.63,15.35
01/03/22,2022,3,SKU0003,BEVERAGES,5947,1,22,0.237,0,31,3,15.63,14.52
01/04/22,2022,4,SKU0003,BEVERAGES,6523,1,8,0.089,0,30,3,15.63,15.21
01/05/22,2022,5,SKU0003,BEVERAGES,7137,1,9,0.097,1,31,3,15.63,15.18
01/06/22,2022,6,SKU0003,BEVERAGES,7522,0,0,0,0,30,3,15.63,15.63
01/07/22,2022,7,SKU0003,BEVERAGES,8716,1,15,0.161,1,31,3,15.63,14.87
01/08/22,2022,8,SKU0003,BEVERAGES,6905,1,2,0.022,0,31,3,15.63,15.53
01/09/22,2022,9,SKU0003,BEVERAGES,5798,1,13,0.144,0,30,3,15.63,14.95
01/10/22,2022,10,SKU0003,BEVERAGES,6816,1,13,0.14,1,31,3,15.63,14.97
01/11/22,2022,11,SKU0003,BEVERAGES,6279,1,14,0.156,1,30,3,15.63,14.9
01/12/22,2022,12,SKU0003,BEVERAGES,6241,1,20,0.215,1,31,3,15.63,14.62
01/01/23,2023,1,SKU0003,BEVERAGES,4097,1,2,0.022,1,31,3,15.63,15.53
01/02/23,2023,2,SKU0003,BEVERAGES,4840,1,16,0.19,1,28,3,15.63,14.74
01/03/23,2023,3,SKU0003,BEVERAGES,6865,1,20,0.215,0,31,3,15.63,14.62
01/04/23,2023,4,SKU0003,BEVERAGES,6056,0,0,0,0,30,3,15.63,15.63
01/05/23,2023,5,SKU0003,BEVERAGES,6836,0,0,0,1,31,3,15.63,15.63
01/06/23,2023,6,SKU0003,BEVERAGES,10695,1,11,0.122,0,30,3,15.63,15.06
01/07/23,2023,7,SKU0003,BEVERAGES,9918,1,11,0.118,1,31,3,15.63,15.08
01/08/23,2023,8,SKU0003,BEVERAGES,8767,1,11,0.118,0,31,3,15.63,15.08
01/09/23,2023,9,SKU0003,BEVERAGES,7005,1,15,0.167,0,30,3,15.63,14.85
01/10/23,2023,10,SKU0003,BEVERAGES,7097,1,10,0.108,1,31,3,15.63,15.13
01/11/23,2023,11,SKU0003,BEVERAGES,7828,1,16,0.178,1,30,3,15.63,14.8
01/12/23,2023,12,SKU0003,BEVERAGES,6167,1,11,0.118,1,31,3,15.63,15.08
01/01/24,2024,1,SKU0003,BEVERAGES,4706,1,4,0.043,1,31,3,15.63,15.43
01/02/24,2024,2,SKU0003,BEVERAGES,5259,1,15,0.172,1,29,3,15.63,14.82
01/03/24,2024,3,SKU0003,BEVERAGES,7898,1,19,0.204,0,31,3,15.63,14.67
01/04/24,2024,4,SKU0003,BEVERAGES,7732,1,11,0.122,0,30,3,15.63,15.06
01/05/24,2024,5,SKU0003,BEVERAGES,8252,1,3,0.032,1,31,3,15.63,15.48
01/06/24,2024,6,SKU0003,BEVERAGES,10465,1,9,0.1,0,30,3,15.63,15.16
01/07/24,2024,7,SKU0003,BEVERAGES,9323,1,1,0.011,1,31,3,15.63,15.58
01/08/24,2024,8,SKU0003,BEVERAGES,10517,1,12,0.129,0,31,3,15.63,15.02
01/09/24,2024,9,SKU0003,BEVERAGES,7270,1,13,0.144,0,30,3,15.63,14.95
01/10/24,2024,10,SKU0003,BEVERAGES,7260,1,7,0.075,1,31,3,15.63,15.28
01/11/24,2024,11,SKU0003,BEVERAGES,9585,1,26,0.289,1,30,3,15.63,14.28
01/12/24,2024,12,SKU0003,BEVERAGES,5819,0,0,0,1,31,3,15.63,15.63
01/01/25,2025,1,SKU0003,BEVERAGES,5108,0,0,0,1,31,3,15.63,15.63
01/02/25,2025,2,SKU0003,BEVERAGES,6916,1,11,0.131,1,28,3,15.63,15.02
01/03/25,2025,3,SKU0003,BEVERAGES,6306,0,0,0,0,31,3,15.63,15.63
01/04/25,2025,4,SKU0003,BEVERAGES,7589,0,0,0,0,30,3,15.63,15.63
01/05/25,2025,5,SKU0003,BEVERAGES,8724,0,0,0,1,31,3,15.63,15.63
01/06/25,2025,6,SKU0003,BEVERAGES,10558,0,0,0,0,30,3,15.63,15.63
01/07/25,2025,7,SKU0003,BEVERAGES,10214,0,0,0,1,31,3,15.63,15.63
01/08/25,2025,8,SKU0003,BEVERAGES,11478,1,12,0.129,0,31,3,15.63,15.02
01/09/25,2025,9,SKU0003,BEVERAGES,8175,1,7,0.078,0,30,3,15.63,15.27
01/10/25,2025,10,SKU0003,BEVERAGES,8401,1,12,0.129,1,31,3,15.63,15.02
01/11/25,2025,11,SKU0003,BEVERAGES,9330,1,15,0.167,1,30,3,15.63,14.85
01/12/25,2025,12,SKU0003,BEVERAGES,7420,1,8,0.086,1,31,3,15.63,15.23
01/01/22,2022,1,SKU0004,BEVERAGES,10345,0,0,0,1,31,3,24.29,24.29
01/02/22,2022,2,SKU0004,BEVERAGES,13921,1,19,0.226,1,28,3,24.29,22.64
01/03/22,2022,3,SKU0004,BEVERAGES,14174,1,10,0.108,0,31,3,24.29,23.51
01/04/22,2022,4,SKU0004,BEVERAGES,14054,0,0,0,0,30,3,24.29,24.29
01/05/22,2022,5,SKU0004,BEVERAGES,20273,1,10,0.108,1,31,3,24.29,23.51
01/06/22,2022,6,SKU0004,BEVERAGES,23706,1,10,0.111,0,30,3,24.29,23.48
01/07/22,2022,7,SKU0004,BEVERAGES,20992,1,4,0.043,1,31,3,24.29,23.98
01/08/22,2022,8,SKU0004,BEVERAGES,24457,1,20,0.215,0,31,3,24.29,22.72
01/09/22,2022,9,SKU0004,BEVERAGES,16543,1,16,0.178,0,30,3,24.29,22.99
01/10/22,2022,10,SKU0004,BEVERAGES,15011,1,7,0.075,1,31,3,24.29,23.74
01/11/22,2022,11,SKU0004,BEVERAGES,13607,1,7,0.078,1,30,3,24.29,23.72
01/12/22,2022,12,SKU0004,BEVERAGES,11513,0,0,0,1,31,3,24.29,24.29
01/01/23,2023,1,SKU0004,BEVERAGES,11593,1,6,0.065,1,31,3,24.29,23.82
01/02/23,2023,2,SKU0004,BEVERAGES,9718,0,0,0,1,28,3,24.29,24.29
01/03/23,2023,3,SKU0004,BEVERAGES,16128,1,18,0.194,0,31,3,24.29,22.88
01/04/23,2023,4,SKU0004,BEVERAGES,16094,1,11,0.122,0,30,3,24.29,23.4
01/05/23,2023,5,SKU0004,BEVERAGES,15828,0,0,0,1,31,3,24.29,24.29
01/06/23,2023,6,SKU0004,BEVERAGES,19808,0,0,0,0,30,3,24.29,24.29
01/07/23,2023,7,SKU0004,BEVERAGES,24010,1,26,0.28,1,31,3,24.29,22.25
01/08/23,2023,8,SKU0004,BEVERAGES,18496,1,6,0.065,0,31,3,24.29,23.82
01/09/23,2023,9,SKU0004,BEVERAGES,14634,1,12,0.133,0,30,3,24.29,23.32
01/10/23,2023,10,SKU0004,BEVERAGES,12782,0,0,0,1,31,3,24.29,24.29
01/11/23,2023,11,SKU0004,BEVERAGES,13095,1,5,0.056,1,30,3,24.29,23.88
01/12/23,2023,12,SKU0004,BEVERAGES,11919,1,7,0.075,1,31,3,24.29,23.74
01/01/24,2024,1,SKU0004,BEVERAGES,8679,0,0,0,1,31,3,24.29,24.29
01/02/24,2024,2,SKU0004,BEVERAGES,8939,0,0,0,1,29,3,24.29,24.29
01/03/24,2024,3,SKU0004,BEVERAGES,13817,1,9,0.097,0,31,3,24.29,23.58
01/04/24,2024,4,SKU0004,BEVERAGES,17541,1,12,0.133,0,30,3,24.29,23.32
01/05/24,2024,5,SKU0004,BEVERAGES,14842,0,0,0,1,31,3,24.29,24.29
01/06/24,2024,6,SKU0004,BEVERAGES,20696,1,6,0.067,0,30,3,24.29,23.8
01/07/24,2024,7,SKU0004,BEVERAGES,22383,1,15,0.161,1,31,3,24.29,23.11
01/08/24,2024,8,SKU0004,BEVERAGES,18158,1,5,0.054,0,31,3,24.29,23.9
01/09/24,2024,9,SKU0004,BEVERAGES,11883,0,0,0,0,30,3,24.29,24.29
01/10/24,2024,10,SKU0004,BEVERAGES,11487,0,0,0,1,31,3,24.29,24.29
01/11/24,2024,11,SKU0004,BEVERAGES,12746,1,9,0.1,1,30,3,24.29,23.56
01/12/24,2024,12,SKU0004,BEVERAGES,10334,1,4,0.043,1,31,3,24.29,23.98
01/01/25,2025,1,SKU0004,BEVERAGES,12007,1,23,0.247,1,31,3,24.29,22.49
01/02/25,2025,2,SKU0004,BEVERAGES,8636,1,2,0.024,1,28,3,24.29,24.12
01/03/25,2025,3,SKU0004,BEVERAGES,15210,1,18,0.194,0,31,3,24.29,22.88
01/04/25,2025,4,SKU0004,BEVERAGES,15007,1,14,0.156,0,30,3,24.29,23.16
01/05/25,2025,5,SKU0004,BEVERAGES,17051,1,7,0.075,1,31,3,24.29,23.74
01/06/25,2025,6,SKU0004,BEVERAGES,23738,1,19,0.211,0,30,3,24.29,22.75
01/07/25,2025,7,SKU0004,BEVERAGES,18945,1,8,0.086,1,31,3,24.29,23.66
01/08/25,2025,8,SKU0004,BEVERAGES,15622,0,0,0,0,31,3,24.29,24.29
01/09/25,2025,9,SKU0004,BEVERAGES,11845,1,6,0.067,0,30,3,24.29,23.8
01/10/25,2025,10,SKU0004,BEVERAGES,15285,1,18,0.194,1,31,3,24.29,22.88
01/11/25,2025,11,SKU0004,BEVERAGES,13679,1,12,0.133,1,30,3,24.29,23.32
01/12/25,2025,12,SKU0004,BEVERAGES,9109,0,0,0,1,31,3,24.29,24.29
01/01/22,2022,1,SKU0005,BEVERAGES,11733,0,0,0,1,31,3,5.77,5.77
01/02/22,2022,2,SKU0005,BEVERAGES,10792,0,0,0,1,28,3,5.77,5.77
01/03/22,2022,3,SKU0005,BEVERAGES,14423,0,0,0,0,31,3,5.77,5.77
01/04/22,2022,4,SKU0005,BEVERAGES,18460,1,10,0.111,0,30,3,5.77,5.58
01/05/22,2022,5,SKU0005,BEVERAGES,22378,1,14,0.151,1,31,3,5.77,5.51
01/06/22,2022,6,SKU0005,BEVERAGES,22204,0,0,0,0,30,3,5.77,5.77
01/07/22,2022,7,SKU0005,BEVERAGES,30773,1,33,0.355,1,31,3,5.77,5.16
01/08/22,2022,8,SKU0005,BEVERAGES,23637,1,12,0.129,0,31,3,5.77,5.55
01/09/22,2022,9,SKU0005,BEVERAGES,14606,0,0,0,0,30,3,5.77,5.77
01/10/22,2022,10,SKU0005,BEVERAGES,23204,1,33,0.355,1,31,3,5.77,5.16
01/11/22,2022,11,SKU0005,BEVERAGES,13551,0,0,0,1,30,3,5.77,5.77
01/12/22,2022,12,SKU0005,BEVERAGES,13846,1,8,0.086,1,31,3,5.77,5.62
01/01/23,2023,1,SKU0005,BEVERAGES,13051,1,11,0.118,1,31,3,5.77,5.57
01/02/23,2023,2,SKU0005,BEVERAGES,11240,1,11,0.131,1,28,3,5.77,5.54
01/03/23,2023,3,SKU0005,BEVERAGES,15984,1,9,0.097,0,31,3,5.77,5.6
01/04/23,2023,4,SKU0005,BEVERAGES,18648,1,3,0.033,0,30,3,5.77,5.71
01/05/23,2023,5,SKU0005,BEVERAGES,20822,1,7,0.075,1,31,3,5.77,5.64
01/06/23,2023,6,SKU0005,BEVERAGES,28277,1,19,0.211,0,30,3,5.77,5.4
01/07/23,2023,7,SKU0005,BEVERAGES,23790,1,3,0.032,1,31,3,5.77,5.71
01/08/23,2023,8,SKU0005,BEVERAGES,25984,1,20,0.215,0,31,3,5.77,5.4
01/09/23,2023,9,SKU0005,BEVERAGES,15670,1,9,0.1,0,30,3,5.77,5.6
01/10/23,2023,10,SKU0005,BEVERAGES,18939,1,15,0.161,1,31,3,5.77,5.49
01/11/23,2023,11,SKU0005,BEVERAGES,14424,0,0,0,1,30,3,5.77,5.77
01/12/23,2023,12,SKU0005,BEVERAGES,13206,0,0,0,1,31,3,5.77,5.77
01/01/24,2024,1,SKU0005,BEVERAGES,14096,1,10,0.108,1,31,3,5.77,5.58
01/02/24,2024,2,SKU0005,BEVERAGES,12474,1,6,0.069,1,29,3,5.77,5.65
01/03/24,2024,3,SKU0005,BEVERAGES,15527,1,8,0.086,0,31,3,5.77,5.62
01/04/24,2024,4,SKU0005,BEVERAGES,16652,1,1,0.011,0,30,3,5.77,5.75
01/05/24,2024,5,SKU0005,BEVERAGES,22033,1,12,0.129,1,31,3,5.77,5.55
01/06/24,2024,6,SKU0005,BEVERAGES,23300,0,0,0,0,30,3,5.77,5.77
01/07/24,2024,7,SKU0005,BEVERAGES,24274,1,5,0.054,1,31,3,5.77,5.68
01/08/24,2024,8,SKU0005,BEVERAGES,20136,0,0,0,0,31,3,5.77,5.77
01/09/24,2024,9,SKU0005,BEVERAGES,14924,0,0,0,0,30,3,5.77,5.77
01/10/24,2024,10,SKU0005,BEVERAGES,18031,1,8,0.086,1,31,3,5.77,5.62
01/11/24,2024,11,SKU0005,BEVERAGES,15019,0,0,0,1,30,3,5.77,5.77
01/12/24,2024,12,SKU0005,BEVERAGES,12798,0,0,0,1,31,3,5.77,5.77
01/01/25,2025,1,SKU0005,BEVERAGES,10950,0,0,0,1,31,3,5.77,5.77
01/02/25,2025,2,SKU0005,BEVERAGES,11559,1,6,0.071,1,28,3,5.77,5.65
01/03/25,2025,3,SKU0005,BEVERAGES,14844,0,0,0,0,31,3,5.77,5.77
01/04/25,2025,4,SKU0005,BEVERAGES,17454,0,0,0,0,30,3,5.77,5.77
01/05/25,2025,5,SKU0005,BEVERAGES,25231,1,10,0.108,1,31,3,5.77,5.58
01/06/25,2025,6,SKU0005,BEVERAGES,24471,1,1,0.011,0,30,3,5.77,5.75
01/07/25,2025,7,SKU0005,BEVERAGES,23628,1,12,0.129,1,31,3,5.77,5.55
01/08/25,2025,8,SKU0005,BEVERAGES,22960,1,11,0.118,0,31,3,5.77,5.57
01/09/25,2025,9,SKU0005,BEVERAGES,17831,1,7,0.078,0,30,3,5.77,5.64
01/10/25,2025,10,SKU0005,BEVERAGES,16867,1,4,0.043,1,31,3,5.77,5.7
01/11/25,2025,11,SKU0005,BEVERAGES,17604,1,12,0.133,1,30,3,5.77,5.54
01/12/25,2025,12,SKU0005,BEVERAGES,13127,1,1,0.011,1,31,3,5.77,5.75
01/01/22,2022,1,SKU0006,BEVERAGES,4719,0,0,0,1,31,3,13.83,13.83
01/02/22,2022,2,SKU0006,BEVERAGES,5247,1,11,0.131,1,28,3,13.83,13.29
01/03/22,2022,3,SKU0006,BEVERAGES,7484,1,18,0.194,0,31,3,13.83,13.03
01/04/22,2022,4,SKU0006,BEVERAGES,8742,1,15,0.167,0,30,3,13.83,13.14
01/05/22,2022,5,SKU0006,BEVERAGES,9321,1,14,0.151,1,31,3,13.83,13.21
01/06/22,2022,6,SKU0006,BEVERAGES,11425,1,7,0.078,0,30,3,13.83,13.51
01/07/22,2022,7,SKU0006,BEVERAGES,9517,0,0,0,1,31,3,13.83,13.83
01/08/22,2022,8,SKU0006,BEVERAGES,11148,1,13,0.14,0,31,3,13.83,13.25
01/09/22,2022,9,SKU0006,BEVERAGES,7116,1,13,0.144,0,30,3,13.83,13.23
01/10/22,2022,10,SKU0006,BEVERAGES,6420,0,0,0,1,31,3,13.83,13.83
01/11/22,2022,11,SKU0006,BEVERAGES,6213,0,0,0,1,30,3,13.83,13.83
01/12/22,2022,12,SKU0006,BEVERAGES,6361,1,15,0.161,1,31,3,13.83,13.16
01/01/23,2023,1,SKU0006,BEVERAGES,5332,1,7,0.075,1,31,3,13.83,13.52
01/02/23,2023,2,SKU0006,BEVERAGES,4801,0,0,0,1,28,3,13.83,13.83
01/03/23,2023,3,SKU0006,BEVERAGES,7687,1,18,0.194,0,31,3,13.83,13.03
01/04/23,2023,4,SKU0006,BEVERAGES,7179,0,0,0,0,30,3,13.83,13.83
01/05/23,2023,5,SKU0006,BEVERAGES,11744,1,31,0.333,1,31,3,13.83,12.45
01/06/23,2023,6,SKU0006,BEVERAGES,12866,1,12,0.133,0,30,3,13.83,13.28
01/07/23,2023,7,SKU0006,BEVERAGES,10594,1,14,0.151,1,31,3,13.83,13.21
01/08/23,2023,8,SKU0006,BEVERAGES,8697,0,0,0,0,31,3,13.83,13.83
01/09/23,2023,9,SKU0006,BEVERAGES,7460,1,14,0.156,0,30,3,13.83,13.18
01/10/23,2023,10,SKU0006,BEVERAGES,8220,1,11,0.118,1,31,3,13.83,13.34
01/11/23,2023,11,SKU0006,BEVERAGES,6408,1,1,0.011,1,30,3,13.83,13.78
01/12/23,2023,12,SKU0006,BEVERAGES,6415,1,6,0.065,1,31,3,13.83,13.56
01/01/24,2024,1,SKU0006,BEVERAGES,5008,0,0,0,1,31,3,13.83,13.83
01/02/24,2024,2,SKU0006,BEVERAGES,5884,1,5,0.057,1,29,3,13.83,13.59
01/03/24,2024,3,SKU0006,BEVERAGES,7875,1,7,0.075,0,31,3,13.83,13.52
01/04/24,2024,4,SKU0006,BEVERAGES,7022,0,0,0,0,30,3,13.83,13.83
01/05/24,2024,5,SKU0006,BEVERAGES,9118,1,12,0.129,1,31,3,13.83,13.29
01/06/24,2024,6,SKU0006,BEVERAGES,10498,0,0,0,0,30,3,13.83,13.83
01/07/24,2024,7,SKU0006,BEVERAGES,10235,1,6,0.065,1,31,3,13.83,13.56
01/08/24,2024,8,SKU0006,BEVERAGES,9055,0,0,0,0,31,3,13.83,13.83
01/09/24,2024,9,SKU0006,BEVERAGES,7299,1,5,0.056,0,30,3,13.83,13.6
01/10/24,2024,10,SKU0006,BEVERAGES,7440,1,9,0.097,1,31,3,13.83,13.43
01/11/24,2024,11,SKU0006,BEVERAGES,8744,1,22,0.244,1,30,3,13.83,12.82
01/12/24,2024,12,SKU0006,BEVERAGES,6316,1,6,0.065,1,31,3,13.83,13.56
01/01/25,2025,1,SKU0006,BEVERAGES,6120,1,13,0.14,1,31,3,13.83,13.25
01/02/25,2025,2,SKU0006,BEVERAGES,4500,0,0,0,1,28,3,13.83,13.83
01/03/25,2025,3,SKU0006,BEVERAGES,9147,1,20,0.215,0,31,3,13.83,12.94
01/04/25,2025,4,SKU0006,BEVERAGES,7910,1,4,0.044,0,30,3,13.83,13.65
